N NoiseSigma MeanNoiseMag MeanPLineDist Std MeanRepErr Std reconstructionError Std
35 0.1 0.0865964088064 0.110333802955 0.0900062968597 5.54779091544 3.40994176104 0.0817876684917 0.0298187979444
35 0.1 0.0824620095028 0.239115856727 0.398831178315 4.40288283091 2.81294322964 0.0897208149807 0.0533464667197
35 0.1 0.0854200130238 0.170100463008 0.194217020733 4.00226477167 2.70776489937 0.064001438986 0.0341882062639
35 0.1 0.0768016799748 0.0742928089714 0.0651669088479 0.780567450331 0.595836283264 0.0174794392748 0.00612850431264
35 0.1 0.0874834690334 0.147093644081 0.141638498905 1.78587504249 1.20654619677 0.0424967292609 0.0252292876307
35 0.1 0.0899590971582 0.134110940166 0.136178054601 6.59111281314 4.34460375098 0.117616830013 0.046969377313
35 0.1 0.0782342973356 0.221345471324 0.318195141797 1.36793858412 1.44506914376 0.0516861278734 0.0396032103003
35 0.1 0.0836180348515 0.171023435981 0.230586291555 3.75686851752 2.30467880961 0.0694837226478 0.0351961655861
35 0.1 0.0880855985095 0.133751984033 0.135288736349 8.0476213686 5.02619838169 0.139802363719 0.0507219341878
35 0.1 0.0838179197019 0.0983469307147 0.0728414664244 11.6573729936 7.34582881762 0.20860835806 0.0736784415065
35 0.1 0.0755239279852 0.215409753325 0.340979153072 3.00901085944 2.5266619418 0.0673982259667 0.0503134346032
35 0.1 0.0802350125795 0.133069694013 0.155523180868 8.58918579368 5.9746440387 0.149717441213 0.0745292489503
35 0.1 0.0823219705647 0.177414653076 0.191667713596 1.30294497464 1.40021733368 0.0438999937644 0.0404125654653
35 0.1 0.0780435392948 0.172979080267 0.25239462831 4.9802543493 3.07719461655 0.082243179208 0.0473884342573
35 0.1 0.0819263672298 0.151748203239 0.14119227062 2.54042548497 1.73260542448 0.0487442744337 0.0312572833848
35 0.1 0.0805869978749 0.12814366816 0.102031810392 11.7598085325 7.64620666429 0.229530840949 0.0889184497912
35 0.1 0.0762990136855 0.269523158189 0.461203211065 1.36340036137 1.27262410288 0.070138217584 0.0552929751185
35 0.1 0.0770126522985 0.170115496453 0.273973195752 1.71776573429 1.28139648654 0.055289042177 0.0299828505456
35 0.1 0.0778704450252 0.148183725753 0.150723705453 5.16230851656 3.24504450197 0.0946593996083 0.035087942374
35 0.1 0.0737805916635 0.0937404932591 0.09152403485 3.05043116039 1.90661393725 0.0559134815236 0.0217590488775
