N GaussianNoiseScale MeanNoiseMag MeanPLineDist Std MeanRepErr Std StdRec
18 0 3.44832720002e-05 3.00986949843e-05 5.00701167108e-05 1.95290550827e-05 4.51414997783e-06
18 1 0.828307371938 1.02885119508 0.400840875526 1.47807103232 1.03432999027 0.0127197275522
18 2 1.51810315308 1.99070882449 1.56723778131 4.71007547878 2.1957955788 0.0213347556615
18 3 2.51257689865 4.20173545651 3.16211526148 8.10481341192 4.71589165718 0.0623914511708
18 4 2.89920833861 2.98552931314 2.66774652636 5.95080290828 3.86594421604 0.04615200364
18 5 3.87088455675 7.38746762527 5.2139812429 17.4539571896 9.56374934289 0.0918265772495
18 6 4.39868086427 6.00342069107 5.25452852109 7.88030201619 5.42999876983 0.210218568631
18 7 5.85406900639 5.27426562753 4.44320379815 14.1654755105 10.7599541808 0.797836806994
18 8 6.02853767943 7.6461471522 6.78761145207 14.8135120237 8.20461360856 1.05783475885
18 9 6.38257186759 9.76026691401 6.26564324572 17.5010239407 15.7377653307 0.154117739958
18 10 8.3879479544 9.63241989596 6.77340685071 4.8997043101 3.92822387918 0.12339434526
18 11 9.10634838303 11.4971657977 6.38270153044 29.0332681649 8.92791733642 0.231194657791
18 12 9.35143488012 17.2926708776 12.9465241605 21.3190285351 12.6086060624 0.113535431427
18 13 9.5872837133 9.46860515364 4.73283684302 13.571034534 9.32696805232 0.641702210423
18 14 12.5863170284 8.51465994701 6.13410344931 36.1127449642 19.9145656118 0.167800951598
18 15 13.2648816331 15.0135801101 14.0596828198 24.7876780745 19.3024683704 0.466403896063
18 16 11.1150588627 16.1575854038 10.0540730847 16.0133557725 12.2160636909 0.173440776932
18 17 13.4923851623 24.3662210551 18.2676915937 11.2752914903 9.0989530735 0.301224542538
18 18 13.9282769817 19.8500062524 14.6778296577 8.66441210758 8.0343025029 0.309542902403
18 19 13.9273373967 14.423125003 10.782555819 17.4521108067 9.11215041615 0.512800569223
18 20 13.8430285371 19.6665653861 10.7449520023 35.6597939273 15.8135567051 0.716526552848
18 21 17.3972571144 21.1406748785 21.1899032443 70.0465396765 24.2012352715 0.597136360357
18 22 17.1480786607 23.2245072792 15.1647557727 25.2149590343 15.0761769697 0.450678389136
18 23 16.7851720715 19.510608828 15.3938815952 57.4813591688 90.2452200281 0.328684141352
18 24 17.8672311592 26.1349056531 25.1509657196 28.4294163868 22.701982392 0.179272393246
18 25 23.7545689288 32.4692213937 24.5793806959 61.738059154 87.2938263626 0.448397017176
18 26 21.2959596941 30.9858476327 25.3972029534 30.6727552115 18.5223846579 0.578311053776
18 27 24.1663466079 44.7208427582 42.6877067794 47.0596116106 32.2090252212 0.316345502408
18 28 25.0693449393 35.1155318105 21.5408860754 19.6187608988 18.8147165742 0.35373041419
18 29 20.2733854721 26.2406067476 20.6455405673 52.7869538041 27.7528950675 0.34612959737
