N GaussianNoiseScale MeanNoiseMag MeanPLineDist Std MeanRepErr Std StdRec
18 0 3.44832720002e-05 3.00986949843e-05 5.00701167108e-05 1.95290550827e-05 4.51414997783e-06
18 1 0.7505856558 0.794495479115 0.581864965005 5.03322646211 1.32976964115 0.0194501339964
18 2 1.54646136822 1.97667870263 1.66669718338 5.97836696259 1.65860886058 0.0469834025606
18 3 2.17255040775 2.36650055524 2.17045032363 5.59819531026 1.86840861998 0.0357163080295
18 4 3.29684091891 4.27916966804 3.28514927787 10.2416976033 4.19489051115 0.0742081476533
18 5 4.01728168828 3.63421857669 2.82720744218 21.5436495464 6.02558559827 0.0435704821558
18 6 4.5795527135 8.52911802647 5.87832427553 6.85678598021 4.24518913003 0.153314831427
18 7 5.04581083195 8.7833963782 7.1131394353 15.4250901538 6.35650122464 0.203721026743
18 8 6.20059864686 7.20261675852 7.16488184571 7.53232003142 5.69043574085 0.0969650381262
18 9 8.207609966 10.1106952247 7.8702743688 25.2385802671 13.3314246179 0.547398659338
18 10 8.64431749099 6.97596602448 3.49368408738 19.2469648266 10.8061371377 0.110880467779
18 11 8.74772091986 9.81504893395 8.11179649299 20.167347826 18.2149190067 0.870009164669
18 12 9.27301282307 12.0273362137 9.84465050299 27.644858681 16.3810909968 0.416419294919
18 13 9.8380067089 17.4715763414 12.4570277547 36.8794720324 12.7584677127 0.418658578556
18 14 13.147386809 16.5016526537 11.1743992586 21.435248529 15.7897731583 0.657583013332
18 15 11.3679230864 14.1970408019 12.2521965993 22.6660817787 14.3571584719 0.152754197267
18 16 11.529039455 13.3946779605 10.5885350108 77.9827351323 16.9711926666 0.173242932129
18 17 12.2753262106 12.7488089996 11.0098314394 32.8554280781 8.98222112994 0.389940407085
18 18 14.8530438978 22.8903638505 18.5617483785 12.4993421495 9.00621010463 0.169011552667
18 19 15.9023630934 16.9204152945 13.0376512617 113.562613113 36.3524313589 0.383064149147
18 20 14.7863894514 24.0568913202 15.876016836 39.0566726574 24.7348768158 0.702811335204
18 21 19.0978199717 27.1618433466 13.9024558412 48.9189730264 16.5732219002 0.569065527978
18 22 16.6144937759 28.982688749 17.7448889122 43.6647322566 42.0866823216 0.326365757286
18 23 16.4546396882 16.6781733071 10.5054474542 10.7465413216 9.40527401411 0.379143903263
18 24 19.9523595933 35.5464456257 28.8882078909 21.4730287721 21.5094552971 0.247037261551
18 25 21.9212277122 27.3947939023 19.7582984797 32.3132298731 24.5563055366 0.247517195411
18 26 17.3492310161 20.8199724722 17.0854100508 79.5949389259 17.8527729083 0.380424447214
18 27 18.0335088098 18.2663314207 19.6434190796 30.2481051965 39.8262380102 0.840176605439
18 28 20.9842792508 32.7009622813 26.7332538811 124.100808072 39.2339998194 0.942432990279
18 29 21.3290666998 25.9500981524 21.5487545836 54.2904729314 26.9331049128 0.947879914819
