N GaussianNoiseScale MeanNoiseMag MeanPLineDist Std MeanRepErr Std StdRec
18 0 3.44832720002e-05 3.00986949843e-05 5.00701167108e-05 1.95290550827e-05 4.51414997783e-06
18 1 0.751270773749 1.08630713523 0.78053231283 0.946919274553 0.626670869582 0.010041293283
18 2 1.97466752411 2.08635120307 1.55157179246 4.6573900529 1.52001131642 0.0440800672416
18 3 2.1904843446 2.72317584563 2.27741182962 3.44746546569 2.9639871561 0.0436064474212
18 4 2.81843270538 2.78710393795 2.16188705936 11.4377835001 4.30344062888 0.040338105252
18 5 3.85290161006 4.97519979846 4.43034325554 6.53585150581 5.42459671509 0.740828403427
18 6 4.26253868322 5.36723819133 5.36971994667 5.1841495765 3.39339587173 0.0744592796818
18 7 5.64084780619 7.11295592012 5.14907490163 24.4525216023 17.6854212621 0.152355645662
18 8 5.84959912588 5.25407942263 5.00054741474 12.8308197415 8.52961798114 0.137482657613
18 9 7.52465340768 7.27197727515 5.24401807257 4.62055567095 3.76464215782 0.104721918357
18 10 8.31591518642 16.8645529931 9.45421500199 41.8694082056 9.61544959366 0.148788600006
18 11 7.73137770805 10.4511021438 6.73371564816 6.60270494462 4.79305395347 0.146521208475
18 12 10.0498003332 20.1968980708 12.6927599773 37.6433750588 13.518962472 0.0942131254294
18 13 10.7284516416 12.7472406359 9.75436029786 25.8420847203 17.8878905336 0.223318144661
18 14 10.7229427522 13.5100546784 7.41295789696 18.6412784743 12.1960369197 0.683178939611
18 15 12.9531561634 10.4053435816 6.79085948772 11.8194479304 7.66387997798 0.322019540471
18 16 15.6505902073 18.5620048265 12.802836423 35.6445925628 21.663556622 0.346336843344
18 17 13.9979563589 13.7768767726 11.6411207435 90.8731596244 17.8984451162 0.94226859297
18 18 14.4184417435 19.3673737535 20.1352044403 38.056529219 38.3942312303 0.444988173539
18 19 17.450189575 30.0178629042 18.8399427482 72.8794574605 18.7484765334 0.30567485412
18 20 15.7714268127 24.0785723114 15.6141332351 67.5637270387 22.1885607407 0.837687655957
18 21 18.4947412685 28.1548028912 18.3128116984 43.091792566 17.9798220704 1.63035313815
18 22 14.6368176023 19.6650829614 13.3205640233 72.7023957535 32.0073665406 0.222767772823
18 23 15.3302310561 19.8933463647 18.1256855273 18.2984804992 12.230241692 0.500065464471
18 24 21.7068846112 30.0354577652 20.5986464447 24.8482539118 23.0506354177 0.22045266123
18 25 19.6485047808 27.1773138108 19.142678282 106.100213257 24.6137277433 0.193628460742
18 26 18.7831387289 26.1174853312 20.8082345308 38.7766989301 19.504193069 0.51055751499
18 27 21.1936926067 40.6533260635 46.50448526 40.5200557864 21.1441005684 0.353539626249
18 28 21.8478167941 36.6723451448 22.8544939521 31.2519301724 19.8268559433 0.882790589468
18 29 22.0213497969 26.6953183521 26.2659667289 52.6052036319 25.1852217339 0.399978230993
